Trial,Participant,Condition,Response,Accuracy,RT
6,CappielloPsyc305LSec1-6,"Flicker, no change",No change,1,2560
11,CappielloPsyc305LSec1-6,"Flicker, no change",No change,1,2622
14,CappielloPsyc305LSec1-6,"Flicker, no change",No change,1,2398
5,CappielloPsyc305LSec1-7,"Flicker, no change",No change,1,14976
10,CappielloPsyc305LSec1-7,"Flicker, no change",No change,1,15343
13,CappielloPsyc305LSec1-7,"Flicker, no change",No change,1,12067
15,CappielloPsyc305LSec1-7,"Flicker, no change",No change,1,14492
1,CappielloPsyc305LSec1-8,"Flicker, no change",No change,1,7005
4,CappielloPsyc305LSec1-8,"Flicker, no change",Change,0,7074
9,CappielloPsyc305LSec1-8,"Flicker, no change",No change,1,7229
11,CappielloPsyc305LSec1-8,"Flicker, no change",No change,1,7140
3,CappielloPsyc305LSec1-9,"Flicker, no change",No change,1,5611
8,CappielloPsyc305LSec1-9,"Flicker, no change",No change,1,13118
13,CappielloPsyc305LSec1-9,"Flicker, no change",Change,0,7961
15,CappielloPsyc305LSec1-9,"Flicker, no change",No change,1,8115
6,CappielloPsyc305LSec1-10,"Flicker, no change",No change,1,9499
8,CappielloPsyc305LSec1-10,"Flicker, no change",No change,1,6920
11,CappielloPsyc305LSec1-10,"Flicker, no change",No change,1,8136
13,CappielloPsyc305LSec1-10,"Flicker, no change",No change,1,6950
2,CappielloPsyc305LSec1-11,"Flicker, no change",No change,1,9039
7,CappielloPsyc305LSec1-11,"Flicker, no change",No change,1,7101
9,CappielloPsyc305LSec1-11,"Flicker, no change",Change,0,11508
13,CappielloPsyc305LSec1-11,"Flicker, no change",No change,1,7794
1,CappielloPsyc305LSec1-12,"Flicker, no change",No change,1,22544
4,CappielloPsyc305LSec1-12,"Flicker, no change",No change,1,23488
11,CappielloPsyc305LSec1-12,"Flicker, no change",No change,1,15208
13,CappielloPsyc305LSec1-12,"Flicker, no change",No change,1,14542
5,CappielloPsyc305LSec1-13,"Flicker, no change",No change,1,7122
6,CappielloPsyc305LSec1-13,"Flicker, no change",No change,1,8153
9,CappielloPsyc305LSec1-13,"Flicker, no change",Change,0,6745
16,CappielloPsyc305LSec1-13,"Flicker, no change",No change,1,7606
3,CappielloPsyc305LSec1-14,"Flicker, no change",No change,1,17316
6,CappielloPsyc305LSec1-14,"Flicker, no change",No change,1,9689
8,CappielloPsyc305LSec1-14,"Flicker, no change",No change,1,11220
15,CappielloPsyc305LSec1-14,"Flicker, no change",No change,1,12603
2,CappielloPsyc305LSec1-15,"Flicker, no change",No change,1,14103
4,CappielloPsyc305LSec1-15,"Flicker, no change",No change,1,8392
7,CappielloPsyc305LSec1-15,"Flicker, no change",No change,1,4026
11,CappielloPsyc305LSec1-15,"Flicker, no change",No change,1,7042
5,CappielloPsyc305LSec1-16,"Flicker, no change",Change,0,3885
6,CappielloPsyc305LSec1-16,"Flicker, no change",No change,1,5310
8,CappielloPsyc305LSec1-16,"Flicker, no change",No change,1,4443
13,CappielloPsyc305LSec1-16,"Flicker, no change",No change,1,5304
1,CappielloPsyc305LSec1-17,"Flicker, no change",Change,0,20834
2,CappielloPsyc305LSec1-17,"Flicker, no change",No change,1,11421
6,CappielloPsyc305LSec1-17,"Flicker, no change",No change,1,3082
16,CappielloPsyc305LSec1-17,"Flicker, no change",Change,0,3602
2,CappielloPsyc305LSec1-18,"Flicker, no change",No change,1,21597
10,CappielloPsyc305LSec1-18,"Flicker, no change",No change,1,10984
11,CappielloPsyc305LSec1-18,"Flicker, no change",No change,1,14436
14,CappielloPsyc305LSec1-18,"Flicker, no change",No change,1,9387
2,CappielloPsyc305LSec1-19,"Flicker, no change",No change,1,9356
9,CappielloPsyc305LSec1-19,"Flicker, no change",No change,1,8581
11,CappielloPsyc305LSec1-19,"Flicker, no change",No change,1,7783
12,CappielloPsyc305LSec1-19,"Flicker, no change",No change,1,8100
2,CappielloPsyc305LSec1-20,"Flicker, no change",No change,1,19932
3,CappielloPsyc305LSec1-20,"Flicker, no change",No change,1,18504
13,CappielloPsyc305LSec1-20,"Flicker, no change",No change,1,16847
16,CappielloPsyc305LSec1-20,"Flicker, no change",No change,1,17039
1,CappielloPsyc305LSec1-21,"Flicker, no change",No change,1,8434
5,CappielloPsyc305LSec1-21,"Flicker, no change",No change,1,10398
10,CappielloPsyc305LSec1-21,"Flicker, no change",No change,1,4989
11,CappielloPsyc305LSec1-21,"Flicker, no change",No change,1,4417
3,CappielloPsyc305LSec1-22,"Flicker, no change",No change,1,4517
9,CappielloPsyc305LSec1-22,"Flicker, no change",No change,1,4174
12,CappielloPsyc305LSec1-22,"Flicker, no change",Change,0,3405
13,CappielloPsyc305LSec1-22,"Flicker, no change",Change,0,4267
4,CappielloPsyc305LSec1-23,"Flicker, no change",No change,1,9962
8,CappielloPsyc305LSec1-23,"Flicker, no change",No change,1,9986
13,CappielloPsyc305LSec1-23,"Flicker, no change",Change,0,17846
14,CappielloPsyc305LSec1-23,"Flicker, no change",No change,1,9966
2,CappielloPsyc305LSec1-1,"No flicker, change",Change,1,5969
6,CappielloPsyc305LSec1-1,"No flicker, change",Change,1,3910
13,CappielloPsyc305LSec1-1,"No flicker, change",Change,1,3839
15,CappielloPsyc305LSec1-1,"No flicker, change",Change,1,3009
1,CappielloPsyc305LSec1-2,"No flicker, change",Change,1,3802
2,CappielloPsyc305LSec1-2,"No flicker, change",Change,1,3235
7,CappielloPsyc305LSec1-2,"No flicker, change",Change,1,2270
15,CappielloPsyc305LSec1-2,"No flicker, change",Change,1,2089
3,CappielloPsyc305LSec1-3,"No flicker, change",Change,1,5929
6,CappielloPsyc305LSec1-3,"No flicker, change",Change,1,7811
8,CappielloPsyc305LSec1-3,"No flicker, change",Change,1,6280
12,CappielloPsyc305LSec1-3,"No flicker, change",Change,1,6538
4,CappielloPsyc305LSec1-4,"No flicker, change",Change,1,4440
6,CappielloPsyc305LSec1-4,"No flicker, change",Change,1,5260
10,CappielloPsyc305LSec1-4,"No flicker, change",Change,1,3266
15,CappielloPsyc305LSec1-4,"No flicker, change",No change,0,3464
1,CappielloPsyc305LSec1-5,"No flicker, change",Change,1,4048
4,CappielloPsyc305LSec1-5,"No flicker, change",Change,1,2971
9,CappielloPsyc305LSec1-5,"No flicker, change",Change,1,2314
13,CappielloPsyc305LSec1-5,"No flicker, change",Change,1,3408
1,CappielloPsyc305LSec1-6,"No flicker, change",Change,1,3221
2,CappielloPsyc305LSec1-6,"No flicker, change",Change,1,1999
3,CappielloPsyc305LSec1-6,"No flicker, change",No change,0,2465
4,CappielloPsyc305LSec1-6,"No flicker, change",Change,1,1796
8,CappielloPsyc305LSec1-7,"No flicker, change",Change,1,6726
9,CappielloPsyc305LSec1-7,"No flicker, change",Change,1,2491
11,CappielloPsyc305LSec1-7,"No flicker, change",Change,1,3356
14,CappielloPsyc305LSec1-7,"No flicker, change",Change,1,5000
6,CappielloPsyc305LSec1-8,"No flicker, change",Change,1,2547
8,CappielloPsyc305LSec1-8,"No flicker, change",Change,1,2231
13,CappielloPsyc305LSec1-8,"No flicker, change",Change,1,2020
16,CappielloPsyc305LSec1-8,"No flicker, change",Change,1,2062
2,CappielloPsyc305LSec1-9,"No flicker, change",Change,1,7456
5,CappielloPsyc305LSec1-9,"No flicker, change",Change,1,5901
9,CappielloPsyc305LSec1-9,"No flicker, change",Change,1,3776
16,CappielloPsyc305LSec1-9,"No flicker, change",Change,1,3302
5,CappielloPsyc305LSec1-10,"No flicker, change",Change,1,2275
7,CappielloPsyc305LSec1-10,"No flicker, change",Change,1,2137
14,CappielloPsyc305LSec1-10,"No flicker, change",Change,1,1990
15,CappielloPsyc305LSec1-10,"No flicker, change",Change,1,2041
3,CappielloPsyc305LSec1-11,"No flicker, change",Change,1,3801
4,CappielloPsyc305LSec1-11,"No flicker, change",Change,1,4720
12,CappielloPsyc305LSec1-11,"No flicker, change",Change,1,3656
15,CappielloPsyc305LSec1-11,"No flicker, change",Change,1,5139
3,CappielloPsyc305LSec1-12,"No flicker, change",Change,1,3873
10,CappielloPsyc305LSec1-12,"No flicker, change",Change,1,2602
12,CappielloPsyc305LSec1-12,"No flicker, change",Change,1,2511
15,CappielloPsyc305LSec1-12,"No flicker, change",Change,1,2356
2,CappielloPsyc305LSec1-13,"No flicker, change",Change,1,349
7,CappielloPsyc305LSec1-13,"No flicker, change",Change,1,2298
8,CappielloPsyc305LSec1-13,"No flicker, change",Change,1,2372
14,CappielloPsyc305LSec1-13,"No flicker, change",Change,1,3550
5,CappielloPsyc305LSec1-14,"No flicker, change",Change,1,3632
7,CappielloPsyc305LSec1-14,"No flicker, change",Change,1,4396
11,CappielloPsyc305LSec1-14,"No flicker, change",Change,1,3399
13,CappielloPsyc305LSec1-14,"No flicker, change",Change,1,3126
1,CappielloPsyc305LSec1-15,"No flicker, change",Change,1,18518
6,CappielloPsyc305LSec1-15,"No flicker, change",Change,1,2096
10,CappielloPsyc305LSec1-15,"No flicker, change",Change,1,2088
12,CappielloPsyc305LSec1-15,"No flicker, change",Change,1,2088
3,CappielloPsyc305LSec1-16,"No flicker, change",Change,1,2540
7,CappielloPsyc305LSec1-16,"No flicker, change",Change,1,2513
12,CappielloPsyc305LSec1-16,"No flicker, change",Change,1,2063
14,CappielloPsyc305LSec1-16,"No flicker, change",Change,1,2507
4,CappielloPsyc305LSec1-17,"No flicker, change",Change,1,6208
9,CappielloPsyc305LSec1-17,"No flicker, change",Change,1,2430
14,CappielloPsyc305LSec1-17,"No flicker, change",Change,1,2341
15,CappielloPsyc305LSec1-17,"No flicker, change",Change,1,1943
1,CappielloPsyc305LSec1-18,"No flicker, change",Change,1,6308
3,CappielloPsyc305LSec1-18,"No flicker, change",Change,1,4280
13,CappielloPsyc305LSec1-18,"No flicker, change",Change,1,4807
15,CappielloPsyc305LSec1-18,"No flicker, change",Change,1,3427
3,CappielloPsyc305LSec1-19,"No flicker, change",Change,1,3158
8,CappielloPsyc305LSec1-19,"No flicker, change",Change,1,2105
13,CappielloPsyc305LSec1-19,"No flicker, change",Change,1,1811
15,CappielloPsyc305LSec1-19,"No flicker, change",Change,1,2297
4,CappielloPsyc305LSec1-20,"No flicker, change",Change,1,2468
7,CappielloPsyc305LSec1-20,"No flicker, change",Change,1,2032
8,CappielloPsyc305LSec1-20,"No flicker, change",Change,1,2182
12,CappielloPsyc305LSec1-20,"No flicker, change",Change,1,2118
7,CappielloPsyc305LSec1-21,"No flicker, change",Change,1,6777
9,CappielloPsyc305LSec1-21,"No flicker, change",Change,1,2459
12,CappielloPsyc305LSec1-21,"No flicker, change",Change,1,2347
13,CappielloPsyc305LSec1-21,"No flicker, change",Change,1,2285
6,CappielloPsyc305LSec1-22,"No flicker, change",Change,1,2559
10,CappielloPsyc305LSec1-22,"No flicker, change",No change,0,2007
11,CappielloPsyc305LSec1-22,"No flicker, change",Change,1,1771
14,CappielloPsyc305LSec1-22,"No flicker, change",Change,1,2287
1,CappielloPsyc305LSec1-23,"No flicker, change",Change,1,5177
2,CappielloPsyc305LSec1-23,"No flicker, change",Change,1,2299
6,CappielloPsyc305LSec1-23,"No flicker, change",Change,1,2564
9,CappielloPsyc305LSec1-23,"No flicker, change",Change,1,2266
7,CappielloPsyc305LSec1-1,"No flicker, no change",No change,1,7809
8,CappielloPsyc305LSec1-1,"No flicker, no change",No change,1,4902
10,CappielloPsyc305LSec1-1,"No flicker, no change",No change,1,3293
11,CappielloPsyc305LSec1-1,"No flicker, no change",No change,1,6630
6,CappielloPsyc305LSec1-2,"No flicker, no change",No change,1,4669
9,CappielloPsyc305LSec1-2,"No flicker, no change",No change,1,6695
12,CappielloPsyc305LSec1-2,"No flicker, no change",No change,1,5074
14,CappielloPsyc305LSec1-2,"No flicker, no change",No change,1,4815
5,CappielloPsyc305LSec1-3,"No flicker, no change",No change,1,12129
9,CappielloPsyc305LSec1-3,"No flicker, no change",Change,0,9207
15,CappielloPsyc305LSec1-3,"No flicker, no change",No change,1,14352
16,CappielloPsyc305LSec1-3,"No flicker, no change",No change,1,9583
2,CappielloPsyc305LSec1-4,"No flicker, no change",No change,1,11177
3,CappielloPsyc305LSec1-4,"No flicker, no change",No change,1,8194
9,CappielloPsyc305LSec1-4,"No flicker, no change",No change,1,6594
16,CappielloPsyc305LSec1-4,"No flicker, no change",No change,1,7377
2,CappielloPsyc305LSec1-5,"No flicker, no change",No change,1,4063
3,CappielloPsyc305LSec1-5,"No flicker, no change",No change,1,5565
8,CappielloPsyc305LSec1-5,"No flicker, no change",No change,1,4049
10,CappielloPsyc305LSec1-5,"No flicker, no change",No change,1,4565
9,CappielloPsyc305LSec1-6,"No flicker, no change",No change,1,3541
13,CappielloPsyc305LSec1-6,"No flicker, no change",Change,0,2574
15,CappielloPsyc305LSec1-6,"No flicker, no change",No change,1,3157
16,CappielloPsyc305LSec1-6,"No flicker, no change",No change,1,3015
1,CappielloPsyc305LSec1-7,"No flicker, no change",No change,1,7600
2,CappielloPsyc305LSec1-7,"No flicker, no change",No change,1,4696
6,CappielloPsyc305LSec1-7,"No flicker, no change",No change,1,10889
16,CappielloPsyc305LSec1-7,"No flicker, no change",No change,1,4528
2,CappielloPsyc305LSec1-8,"No flicker, no change",No change,1,2670
7,CappielloPsyc305LSec1-8,"No flicker, no change",No change,1,3617
12,CappielloPsyc305LSec1-8,"No flicker, no change",No change,1,2277
15,CappielloPsyc305LSec1-8,"No flicker, no change",No change,1,1932
4,CappielloPsyc305LSec1-9,"No flicker, no change",No change,1,14652
6,CappielloPsyc305LSec1-9,"No flicker, no change",No change,1,5871
10,CappielloPsyc305LSec1-9,"No flicker, no change",No change,1,6001
12,CappielloPsyc305LSec1-9,"No flicker, no change",No change,1,5246
1,CappielloPsyc305LSec1-10,"No flicker, no change",No change,1,5832
3,CappielloPsyc305LSec1-10,"No flicker, no change",No change,1,3998
9,CappielloPsyc305LSec1-10,"No flicker, no change",No change,1,4817
16,CappielloPsyc305LSec1-10,"No flicker, no change",No change,1,3603
5,CappielloPsyc305LSec1-11,"No flicker, no change",No change,1,4184
8,CappielloPsyc305LSec1-11,"No flicker, no change",No change,1,6358
11,CappielloPsyc305LSec1-11,"No flicker, no change",No change,1,2630
14,CappielloPsyc305LSec1-11,"No flicker, no change",No change,1,5447
2,CappielloPsyc305LSec1-12,"No flicker, no change",No change,1,12638
7,CappielloPsyc305LSec1-12,"No flicker, no change",No change,1,16184
9,CappielloPsyc305LSec1-12,"No flicker, no change",No change,1,9115
16,CappielloPsyc305LSec1-12,"No flicker, no change",No change,1,5075
1,CappielloPsyc305LSec1-13,"No flicker, no change",No change,1,8317
11,CappielloPsyc305LSec1-13,"No flicker, no change",No change,1,4876
12,CappielloPsyc305LSec1-13,"No flicker, no change",No change,1,4772
13,CappielloPsyc305LSec1-13,"No flicker, no change",No change,1,5143
2,CappielloPsyc305LSec1-14,"No flicker, no change",Change,0,3747
9,CappielloPsyc305LSec1-14,"No flicker, no change",No change,1,7470
10,CappielloPsyc305LSec1-14,"No flicker, no change",No change,1,5536
14,CappielloPsyc305LSec1-14,"No flicker, no change",No change,1,6526
3,CappielloPsyc305LSec1-15,"No flicker, no change",No change,1,5281
5,CappielloPsyc305LSec1-15,"No flicker, no change",No change,1,3637
15,CappielloPsyc305LSec1-15,"No flicker, no change",No change,1,2344
16,CappielloPsyc305LSec1-15,"No flicker, no change",No change,1,2336
2,CappielloPsyc305LSec1-16,"No flicker, no change",No change,1,2573
4,CappielloPsyc305LSec1-16,"No flicker, no change",No change,1,2049
11,CappielloPsyc305LSec1-16,"No flicker, no change",No change,1,2219
16,CappielloPsyc305LSec1-16,"No flicker, no change",No change,1,2240
3,CappielloPsyc305LSec1-17,"No flicker, no change",No change,1,12651
8,CappielloPsyc305LSec1-17,"No flicker, no change",No change,1,5397
10,CappielloPsyc305LSec1-17,"No flicker, no change",No change,1,3194
11,CappielloPsyc305LSec1-17,"No flicker, no change",No change,1,1866
4,CappielloPsyc305LSec1-18,"No flicker, no change",Change,0,12813
6,CappielloPsyc305LSec1-18,"No flicker, no change",No change,1,10373
9,CappielloPsyc305LSec1-18,"No flicker, no change",No change,1,9661
16,CappielloPsyc305LSec1-18,"No flicker, no change",No change,1,5571
5,CappielloPsyc305LSec1-19,"No flicker, no change",No change,1,7166
6,CappielloPsyc305LSec1-19,"No flicker, no change",No change,1,9054
10,CappielloPsyc305LSec1-19,"No flicker, no change",No change,1,5863
16,CappielloPsyc305LSec1-19,"No flicker, no change",No change,1,6760
5,CappielloPsyc305LSec1-20,"No flicker, no change",No change,1,11813
6,CappielloPsyc305LSec1-20,"No flicker, no change",No change,1,12694
9,CappielloPsyc305LSec1-20,"No flicker, no change",No change,1,12892
10,CappielloPsyc305LSec1-20,"No flicker, no change",No change,1,11899
3,CappielloPsyc305LSec1-21,"No flicker, no change",No change,1,11623
6,CappielloPsyc305LSec1-21,"No flicker, no change",No change,1,6206
8,CappielloPsyc305LSec1-21,"No flicker, no change",No change,1,5263
15,CappielloPsyc305LSec1-21,"No flicker, no change",No change,1,3412
2,CappielloPsyc305LSec1-22,"No flicker, no change",No change,1,5155
4,CappielloPsyc305LSec1-22,"No flicker, no change",No change,1,3004
5,CappielloPsyc305LSec1-22,"No flicker, no change",No change,1,2627
7,CappielloPsyc305LSec1-22,"No flicker, no change",No change,1,2300
7,CappielloPsyc305LSec1-23,"No flicker, no change",No change,1,5855
10,CappielloPsyc305LSec1-23,"No flicker, no change",No change,1,2994
12,CappielloPsyc305LSec1-23,"No flicker, no change",No change,1,4609
16,CappielloPsyc305LSec1-23,"No flicker, no change",No change,1,2940
